idx,idx_Top10,idx_original,Original_ID,synset,Name,ILSVRC2012_ID,WNID,Words,Img_Name,HHI_Score,Top3_sum,Top5_sum,child,L1.class,L2.class,L3.class,L4.class,L5.class
0,1,1,361,n09193705,Alp,361,n09193705,alp,ILSVRC2012_val_00000002.JPEG,3190.916908,80.45299606,81.2409275,Alp,entity.n.01,physical_entity.n.01,object.n.01,geological_formation.n.01,natural_elevation.n.01
1,4,4,297,n03125729,Cradle,297,n03125729,cradle,ILSVRC2012_val_00000005.JPEG,3899.350232,87.347631,88.09342802,Cradle,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
2,7,8,599,n03794056,Mousetrap,599,n03794056,mousetrap,ILSVRC2012_val_00000009.JPEG,9833.853387,99.34269975,99.41860433,Mousetrap,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
3,13,14,554,n03496892,Harvester,554,n03496892,"harvester, reaper",ILSVRC2012_val_00000015.JPEG,2315.434186,70.460415,74.0283566,Harvester,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
4,38,39,606,n01773797,Garden Spider,606,n01773797,"garden spider, Aranea diademata",ILSVRC2012_val_00000040.JPEG,7855.688974,94.7291984,97.2878337,Garden_Spider,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
5,40,41,927,n04049303,Rain Barrel,927,n04049303,rain barrel,ILSVRC2012_val_00000042.JPEG,9887.563754,99.65605245,99.68421446,Rain_Barrel,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
6,49,51,498,n01632777,Axolotl,498,n01632777,"axolotl, mud puppy, Ambystoma mexicanum",ILSVRC2012_val_00000052.JPEG,8846.02737,94.26696553,94.40645804,Axolotl,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
7,61,63,471,n01693334,Green Lizard,471,n01693334,"green lizard, Lacerta viridis",ILSVRC2012_val_00000064.JPEG,3354.75154,68.76463,75.2147461,Green_Lizard,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
8,70,73,568,n02966193,Carousel,568,n02966193,"carousel, carrousel, merry-go-round, roundabout, whirligig",ILSVRC2012_val_00000074.JPEG,9900.425483,99.61268406,99.64388546,Carousel,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
9,71,74,401,n01795545,Black Grouse,401,n01795545,black grouse,ILSVRC2012_val_00000075.JPEG,7659.665441,88.11632714,88.27842376,Black_Grouse,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
10,75,78,31,n02091635,Otterhound,31,n02091635,"otterhound, otter hound",ILSVRC2012_val_00000079.JPEG,9494.522933,97.84113719,97.96866439,Otterhound,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
11,86,89,476,n01698640,American Alligator,476,n01698640,"American alligator, Alligator mississipiensis",ILSVRC2012_val_00000090.JPEG,9002.297944,97.4498439,97.74253955,American_Alligator,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
